225946	Walykubya	Walykubya		1.82605	31.37322	P	PPL	UG		W	C5	7869947	8657899	0		622	Africa/Kampala	2016-06-22
225947	Walwibo	Walwibo		0.61206	33.41432	H	STM	UG		E	78			0		1099	Africa/Kampala	2017-06-06
225948	Waluvule	Waluvule	Naluvule,Waluvule	0.76667	32.5	P	PPL	UG		C	70	8644176	8657634	0		1126	Africa/Kampala	2016-06-22
225949	Walusi	Walusi		0.91667	32.63333	T	HLL	UG		C	70	8644157	8658273	0		1126	Africa/Kampala	2016-06-22
225950	Walusi	Walusi		0.93333	32.61667	L	LCTY	UG		C	70			0		1155	Africa/Kampala	2012-04-28
225951	Walulumbu Forest Reserve	Walulumbu Forest Reserve	Walulumbu,Walulumbu Forest,Walulumbu Forest Reserve	0.46187	33.30872	V	FRST	UG		E	86			0		1230	Africa/Kampala	2016-12-03
225952	Walukota	Walukota		1.18333	32.63333	P	PPL	UG		C	73	234123	7732536	0		1058	Africa/Kampala	2016-06-22
225953	Walukoge	Walukoge		1.26667	32.31667	H	STM	UG		C	73			0		1050	Africa/Kampala	2012-04-28
225954	Walugogo	Walugogo		1.55579	31.53314	H	STM	UG		W	50			0		1103	Africa/Kampala	2012-04-28
225955	Walugogo	Walugogo		0.67744	33.42528	H	STM	UG		E	G4			0		1087	Africa/Kampala	2017-06-06
225956	Walina	Walina		0.08333	29.81667	T	HLL	UG		W	40	7869968	8657868	0		2081	Africa/Kampala	2016-06-22
225957	Walile	Walile		0.25	31.45	T	HLL	UG		C	F4	233383	8657834	0		1249	Africa/Kampala	2016-06-22
225958	Waliga	Waliga		0.54606	33.08468	H	STM	UG		C	E7			0		1085	Africa/Kampala	2017-06-06
225959	Walasi	Walasi		1.18333	34.21667	T	HLL	UG		E	94	7869959	8658135	0		1374	Africa/Kampala	2016-06-22
225960	Walabungo	Walabungo		1.45	32.26667	P	PPL	UG		C	73	234123	8657900	0		1079	Africa/Kampala	2016-06-22
225961	Wakyato	Wakyato		0.87444	32.20472	P	PPL	UG		C	D9	8644153	8657639	0		1079	Africa/Kampala	2016-06-22
225962	Wakukuta	Wakukuta		1.2	33.25	H	STM	UG		E	F3			0		1049	Africa/Kampala	2012-04-28
225963	Wakiso	Wakiso	Wakiso,Wakisu	0.40987	32.83218	P	PPL	UG		C	90	7732384	8658288	0		1143	Africa/Kampala	2016-12-03
225964	Wakiso	Wakiso	Wakiso	0.40444	32.45944	P	PPLA2	UG		C	96	234053	8658696	20530		1204	Africa/Kampala	2016-06-22
225965	Wakisani	Wakisani		1.63398	32.01862	P	PPL	UG		W	F7	231597	8658200	0		1044	Africa/Kampala	2016-06-22
225966	Wakibombo	Wakibombo		1.01667	32.46667	H	STM	UG		C	70			0		1061	Africa/Kampala	2012-04-28
225967	Waki	Waki		1.79535	31.32007	H	STM	UG		W	C5			0		615	Africa/Kampala	2012-04-28
225968	Waki	Waki		1.80034	31.32177	P	PPL	UG		W	C5	7869947	8657899	0		621	Africa/Kampala	2016-06-22
225969	Wakayiba	Wakayiba		0.63333	31.61667	P	PPL	UG		C	56	8644175	8657901	0		1394	Africa/Kampala	2016-06-22
225970	Wakawungu	Wakawungu	Wakawungu	0.41516	33.52344	P	PPL	UG		E	86	8644164	8658692	0		1196	Africa/Kampala	2016-10-08
225971	Bweyagya	Bweyagya	Bweyagya,Wakawoga	1.346	31.63159	H	STM	UG		W	50			0		1053	Africa/Kampala	2017-08-02
225972	Wakawaka	Wakawaka	Wakawaka	0.32543	33.7119	P	PPL	UG		E	G7	8644167	8657677	0		1143	Africa/Kampala	2016-12-20
225973	Wakatanga	Wakatanga		0.66667	33.6	P	PPL	UG		E	78	234502	8658458	0		1102	Africa/Kampala	2016-06-22
225974	Waka Swamp	Waka Swamp	Gangu Swamp,Waka Swamp	3.37768	31.52436	H	MRSH	UG		N	72			0		634	Africa/Kampala	2012-04-28
225975	Wakasimba	Wakasimba		1.15	32.48333	P	PPL	UG		C	73	234123	8657735	0		1083	Africa/Kampala	2016-06-22
225976	Wakasimba	Wakasimba		1.1	32.45	P	PPL	UG		C	73	234123	8657735	0		1084	Africa/Kampala	2016-06-22
225977	Waka	Waka		3.1095	31.43215	P	PPL	UG		N	77	8644146	8658638	0		665	Africa/Kampala	2016-06-22
225978	Wajala	Wajala		1.38333	32.51667	T	HLL	UG		C	73	234123	8658189	0		1106	Africa/Kampala	2016-06-22
225979	Wajala	Wajala		1.38333	32.53333	P	PPL	UG		C	73	234123	8658189	0		1060	Africa/Kampala	2016-06-22
225980	Waiya Bay	Waiya Bay	Waiya Bay,Wayia Bay	0.06907	32.42619	H	BAY	UG		C	96			0		1134	Africa/Kampala	2017-06-06
225981	Waitwe Island	Waitwe Island	Waitwe Island	0.05854	33.10079	T	ISL	UG		C	F2			0		1167	Africa/Kampala	2016-12-03
225982	Waiswa	Waiswa		0.55	33.51667	P	PPL	UG		E	78	231410	8657982	0		1133	Africa/Kampala	2016-06-22
225983	Waisoke	Waisoke	Waisake,Waisoke	1.93049	31.4141	H	STM	UG		W	C5			0		619	Africa/Kampala	2012-04-28
225984	Waisembe	Waisembe	Waisemb,Waisembe	1.5441	31.39149	T	MT	UG		W	31	7732256	8658568	0	1468	1418	Africa/Kampala	2016-06-22
225985	Nairumba	Nairumba	Nairumba,Wairumba	0.70697	33.55114	H	STM	UG		E	78			0		1066	Africa/Kampala	2017-02-04
225986	Wairingo	Wairingo		2.06552	31.65791	H	STM	UG		W	50			0		676	Africa/Kampala	2012-04-28
225987	Wairaka	Wairaka	Wairaka	0.4757	33.26457	P	PPL	UG		E	33	8644138	8657852	0		1160	Africa/Kampala	2016-12-03
225988	Wainya	Wainya	Batambogwe,Waina,Wainya,Wanya	0.55518	33.4073	P	PPL	UG		E	86	8644164	8658695	0		1157	Africa/Kampala	2017-06-06
225989	Waimwe	Waimwe		1.53822	32.31438	H	STM	UG		C	73			0		1042	Africa/Kampala	2012-04-28
225990	Waikalakaka	Waikalakaka	Waikalakaka	0.39221	33.72737	P	PPL	UG		E	G7	8644167	8657677	0		1223	Africa/Kampala	2016-10-26
225991	Ihagalo	Ihagalo	Ihagalo,Ilhago,Waigalo	0.95236	33.5129	P	PPL	UG		E	D2	234305	8657555	0		1099	Africa/Kampala	2017-06-06
225992	Waiga	Waiga	Waiga,Waigala	0.3356	33.39688	P	PPL	UG		E	86	8644164	8658491	0		1159	Africa/Kampala	2016-12-03
225993	Waigabu	Waigabu	Waigabu	0.61667	30.4	H	STM	UG		W	79			0		1462	Africa/Kampala	2017-01-04
225994	Waibuga	Waibuga		0.63272	33.3844	P	PPL	UG		E	G4	229762	8658593	0		1163	Africa/Kampala	2017-06-06
